year,manuf_name,num_manuf,brand,num_brand,model_name,price,cylinder,weight,horsepower,fuel_cost,nb_households,sj,i1b_poids_vide,i1b_puis_fisc,i1b_cylindree,i1b_euro_km,i2b_poids_vide,i2b_puis_fisc,i2b_cylindree,i2b_euro_km,i3b_poids_vide,i3b_puis_fisc,i3b_cylindree,i3b_euro_km
2003,"B.M.W.",1,"B.M.W.",3,"SERIE 7",7.503251,2.993,19,14,7.361411,7185267,.0000174,.8744197229,.859075,.8998355791,.8313005,.4966851673,.643153,.5735910651,.4827065,.6211425733,.851704,.7708130384,.6047422
2003,"B.M.W.",1,"B.M.W.",3,"X5",5.452433,2.926,20.95,13,8.399143,7185267,.0001911,.8744197229,.859075,.8998355791,.8313005,.4922154974,.665751,.5852952979,.4908992,.6997867661,.699012,.7192157819,.6458154
2003,"B.M.W.",1,"B.M.W.",3,"X5",5.209863,2.926,20.8,12,7.555985,7185267,.0000782,.8744197229,.859075,.8998355791,.8313005,.4922154974,.665751,.5852952979,.4908992,.6997867661,.699012,.7192157819,.6458154
2003,"B.M.W.",1,"B.M.W.",3,"Z3",3.357512,2.171,12.8,11,11.13295,7185267,2.67e-06,.8744197229,.859075,.8998355791,.8313005,.5107011691,.67618,.5988779879,.4825986,.1928728508,.343061,.2482402766,.2700186
2003,"B.M.W.",1,"B.M.W.",3,"Z3",2.938527,1.895,12.2,8,9.478052,7185267,4.68e-06,.8744197229,.859075,.8998355791,.8313005,.5107011691,.67618,.5988779879,.4825986,.1928728508,.343061,.2482402766,.2700186
2003,"B.M.W.",1,"B.M.W.",3,"Z4",4.074195,2.494,12.6,12,10.83206,7185267,.0001323,.8744197229,.859075,.8998355791,.8313005,.5243860843,.688348,.6108331887,.5000327,.1928728508,.343061,.2482402766,.2700186
2003,"B.M.W.",1,"MINI",23,"MINI",2.02889,1.364,11,5,4.183357,7185267,.000145,.8744197229,.859075,.8998355791,.8313005,.47792359,.648368,.5708152074,.4480506,.8641624884,.742639,.8585656611,.9583653
2003,"B.M.W.",1,"MINI",23,"MINI",1.797346,1.598,10.65,6,8.023747,7185267,.0002659,.8744197229,.859075,.8998355791,.8313005,.47792359,.648368,.5708152074,.4480506,.8641624884,.742639,.8585656611,.9583653
2003,"B.M.W.",1,"MINI",23,"MINI",2.530569,1.598,11.4,10,10.12998,7185267,.0001844,.8744197229,.859075,.8998355791,.8313005,.47792359,.648368,.5708152074,.4480506,.8641624884,.742639,.8585656611,.9583653
2003,"B.M.W.",1,"MINI",23,"MINI",2.265947,1.598,10.9,7,9.377754,7185267,.0001142,.8744197229,.859075,.8998355791,.8313005,.47792359,.648368,.5708152074,.4480506,.8641624884,.742639,.8585656611,.9583653
