Variable,Description,Source
party,Party endorsement code: Dem=-1/ Rep=1/ Indep=0/ 3rd=91/ 4th=92,"Editor & Publisher Magazine's ""Roll Call"" survey"
polaff,Political affiliation,annual directories of US newspapers (exact source depends on time period)
